Key=country|OSid|siteid|slot,bid,win probability,estimated win probability,error in estimate
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.4,0,0.0251142,-0.0251142
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.41,0.0251142,0.0251142,0
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.42,0,0.0251142,-0.0251142
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.43,0,0.0251142,-0.0251142
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.44,0,0.0251142,-0.0251142
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.45,0,0.0251142,-0.0251142
BR|3|0093044caeb4429da6c511ae0ad200aa|320X50,0.46,0,0.0251142,-0.0251142
BR|3|00f5153c473d404099a421641628df0f|320X50,0.32,0,0.556452,-0.556452
BR|3|00f5153c473d404099a421641628df0f|320X50,0.44,0,0.556452,-0.556452
BR|3|0146b37e55d645d5be22dbd153ed81db|320X50,0.38,0,0.0275862,-0.0275862
BR|3|0146b37e55d645d5be22dbd153ed81db|320X50,0.49,0,0.0275862,-0.0275862
BR|3|020a15e414e84af49fe5728ff22637e9|320X50,0.3,0,0.328031,-0.328031
BR|3|020a15e414e84af49fe5728ff22637e9|320X50,0.39,0,0.569106,-0.569106
BR|3|02497daa8da641e28ea00d2dca934e55|320X50,0.45,0.384615,0.384615,0
BR|3|0295ca33f4ad46a79dbabd0852735fe7|320X50,0.46,0,0.00471698,-0.00471698
BR|3|033dfc3b954d47c19b743b926b3a0def|320X50,0.22,0,0.258065,-0.258065
BR|3|033dfc3b954d47c19b743b926b3a0def|320X50,0.33,0,0.258065,-0.258065
BR|3|033dfc3b954d47c19b743b926b3a0def|320X50,0.36,0,0.258065,-0.258065
BR|3|033dfc3b954d47c19b743b926b3a0def|320X50,0.39,0,0.258065,-0.258065
BR|3|0697e4675fa04bb1a11351896a1ca73d|320X50,0.42,0,0.0677165,-0.0677165
BR|3|088ae237d3b44179aaeae15191ea304c|320X50,0.19,0,0.0105263,-0.0105263
BR|3|088ae237d3b44179aaeae15191ea304c|320X50,0.32,0,0.0105263,-0.0105263
BR|3|088ae237d3b44179aaeae15191ea304c|320X50,0.33,0,0.0105263,-0.0105263
BR|3|09dec7ff62324528a7e9b63f020f3a01|320X50,0.36,0,0.028169,-0.028169
BR|3|0ba6b5a18ae4404896d366d29704d2ba|320X50,0.41,0,0.333333,-0.333333
BR|3|0c403be0a91d45e5854a94f36dd3e1ef|320X50,0.49,0,0.647059,-0.647059
BR|3|0d624a07f3ab43679e552231daee7266|320X50,0.19,0,0.294845,-0.294845
BR|3|0d624a07f3ab43679e552231daee7266|320X50,0.2,0,0.294845,-0.294845
BR|3|0d726df7afc949daa97a7010bdebd600|320X50,0.38,0,0.00438596,-0.00438596
BR|3|0f3a497132de49ae8eec98a5b392648d|320X50,0.13,0,0.0666667,-0.0666667
BR|3|113c27deaca448c99cde21cefbb667b5|320X50,0.33,0,0.488372,-0.488372
BR|3|119b8a96d81542d98feb4214ec283655|320X50,0.47,0,0.0362694,-0.0362694
BR|3|125769f1aa1c4a5f928ec7a4a48292f9|320X50,0.38,0,0.121005,-0.121005
BR|3|125769f1aa1c4a5f928ec7a4a48292f9|728X90,0.38,0,0.0625,-0.0625
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.22,0,0.0881226,-0.0881226
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.23,0,0.0881226,-0.0881226
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.33,0,0.0881226,-0.0881226
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.36,0,0.0881226,-0.0881226
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.39,0,0.0881226,-0.0881226
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.4,0,0.0881226,-0.0881226
BR|3|12a35ce4035c427cad0eed2e139d2554|320X50,0.43,0,0.0881226,-0.0881226
BR|3|14ae2714a90e49f1a5e8f9034f27ffb7|320X50,0.1,0.360927,0.360927,0
BR|3|14ae2714a90e49f1a5e8f9034f27ffb7|320X50,0.18,0.416667,0.416667,0
BR|3|14ae2714a90e49f1a5e8f9034f27ffb7|320X50,0.45,0,0.430508,-0.430508
BR|3|14ae2714a90e49f1a5e8f9034f27ffb7|320X50,0.47,0,0.443366,-0.443366
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.1,0,0.739777,-0.739777
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.19,0,0.739777,-0.739777
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.21,0,0.739777,-0.739777
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.27,0,0.739777,-0.739777
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.28,0,0.739777,-0.739777
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.37,0,0.739777,-0.739777
BR|3|1842787922044ecdad13ac27ac657ffe|320X50,0.49,0,0.739777,-0.739777
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.15,0,0.0419589,-0.0419589
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.2,0.0769231,0.0769231,0
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.28,0.384615,0.384615,0
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.34,0,0.409091,-0.409091
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.38,0.47619,0.47619,0
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.4,0.466667,0.466667,0
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.43,0,0.473684,-0.473684
BR|3|1894f285fb154b8ea79aa073ddfd6c3a|320X50,0.44,0,0.4,-0.4
BR|3|19b7baa259984208bb94bf0532d3a984|320X50,0.31,0.0967742,0.0967742,0
BR|3|19b7baa259984208bb94bf0532d3a984|320X50,0.32,0.0714286,0.0714286,0
BR|3|19b7baa259984208bb94bf0532d3a984|320X50,0.49,0.115385,0.115385,0
BR|3|1e20a753ede846fdabb061ab04c49ee7|320X50,0.2,0,0.189655,-0.189655
BR|3|20ed9dd645234b67a6e44e0a497d6d7d|320X50,0.33,0,0.402439,-0.402439
BR|3|219f088dc8f04391983d79a564710c27|320X50,0.19,0,0.0494205,-0.0494205
BR|3|219f088dc8f04391983d79a564710c27|320X50,0.25,0,0.263158,-0.263158
BR|3|219f088dc8f04391983d79a564710c27|320X50,0.42,0,0.436056,-0.436056
BR|3|219f088dc8f04391983d79a564710c27|320X50,0.44,0,0.333333,-0.333333
BR|3|219f088dc8f04391983d79a564710c27|320X50,0.49,0,0.333333,-0.333333
BR|3|23b9fcd8d7ac433c9a58bcdfa384568b|320X50,0.37,0,0.481481,-0.481481
BR|3|25b9533e0dcb44d3a20a4a325ad5930e|320X50,0.29,0,0.784257,-0.784257
BR|3|25b9533e0dcb44d3a20a4a325ad5930e|320X50,0.32,0,0.784257,-0.784257
BR|3|25b9533e0dcb44d3a20a4a325ad5930e|320X50,0.41,0,0.784257,-0.784257
BR|3|25b9533e0dcb44d3a20a4a325ad5930e|320X50,0.47,0,0.784257,-0.784257
BR|3|25b9533e0dcb44d3a20a4a325ad5930e|728X90,0.31,0,0.00265252,-0.00265252
BR|3|25b9533e0dcb44d3a20a4a325ad5930e|728X90,0.45,0,0.00265252,-0.00265252
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.25,0,0.21981,-0.21981
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.25,0,0.21981,-0.21981
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.28,0,0.247238,-0.247238
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.3,0,0.264177,-0.264177
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.37,0,0.317886,-0.317886
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.39,0,0.3324,-0.3324
BR|3|25c6ff89748f40a381a83dcd460d1b6c|320X50,0.45,0,0.376497,-0.376497
BR|3|2687cd29526a4ca485284e25b3f9efcb|320X50,0.21,0,0.421941,-0.421941
BR|3|2687cd29526a4ca485284e25b3f9efcb|320X50,0.25,0,0.421941,-0.421941
BR|3|2687cd29526a4ca485284e25b3f9efcb|320X50,0.36,0,0.421941,-0.421941
BR|3|2687cd29526a4ca485284e25b3f9efcb|320X50,0.39,0,0.421941,-0.421941
BR|3|2687cd29526a4ca485284e25b3f9efcb|320X50,0.49,0,0.421941,-0.421941
BR|3|272165e3d54543cba779a27d200902e1|320X50,0.18,0,0.0588235,-0.0588235
BR|3|278c59295b4642dd8de9e86c9e680fb7|320X480,0.13,0,0.0040404,-0.0040404
BR|3|278c59295b4642dd8de9e86c9e680fb7|320X50,0.37,0.384615,0.384615,0
BR|3|278c59295b4642dd8de9e86c9e680fb7|320X50,0.41,0.27907,0.27907,0
BR|3|278c59295b4642dd8de9e86c9e680fb7|320X50,0.46,0.465116,0.465116,0
BR|3|27b2dd2e057247ea97dba8868e77473e|320X50,0.3,0,0.0226209,-0.0226209
BR|3|27b2dd2e057247ea97dba8868e77473e|320X50,0.34,0,0.0226209,-0.0226209
BR|3|27b2dd2e057247ea97dba8868e77473e|320X50,0.41,0,0.0226209,-0.0226209
BR|3|27b2dd2e057247ea97dba8868e77473e|320X50,0.49,0,0.0226209,-0.0226209
BR|3|28a245e1713944ef802c71304c35873c|320X480,0.39,0,0.0769231,-0.0769231
BR|3|28a245e1713944ef802c71304c35873c|320X50,0.37,0,0.518519,-0.518519
BR|3|2a2cf8b276df4c29beb4e8880dba55ce|320X50,0.18,0,0.62406,-0.62406
BR|3|2a6951d83ca148389bd66e9ddbe53758|320X50,0.25,0.0803571,0.0803571,0
BR|3|2a6951d83ca148389bd66e9ddbe53758|320X50,0.27,0,0.0803571,-0.0803571
BR|3|2a8d8ead6afc4fba9da051d01e5f200d|320X50,0.49,0,0.369748,-0.369748
BR|3|2aeae6ebd72c46149720d685a1a99f05|320X50,0.26,0,0.0347356,-0.0347356
BR|3|2aeae6ebd72c46149720d685a1a99f05|320X50,0.31,0.0526316,0.0526316,0
BR|3|2aeae6ebd72c46149720d685a1a99f05|320X50,0.36,0,0.0166515,-0.0166515
BR|3|2aeae6ebd72c46149720d685a1a99f05|320X50,0.4,0.0454545,0.0454545,0
BR|3|2aeae6ebd72c46149720d685a1a99f05|320X50,0.48,0.133333,0.133333,0
BR|3|2b1568d3bb22421f946061c1f496b46f|320X50,0.43,0,0.0663469,-0.0663469
BR|3|2b1568d3bb22421f946061c1f496b46f|320X50,0.48,0,0.0663469,-0.0663469
BR|3|2d1efd86ab724952874b0fdcf21435c5|320X50,0.12,0,0.41871,-0.41871
BR|3|2d1efd86ab724952874b0fdcf21435c5|320X50,0.18,0,0.694878,-0.694878
BR|3|2d1efd86ab724952874b0fdcf21435c5|320X50,0.19,0,0.719428,-0.719428
BR|3|2d1efd86ab724952874b0fdcf21435c5|320X50,0.34,0,0.807528,-0.807528
BR|3|2f187cef64a04c3bb07e4e33b26f4be8|320X50,0.24,0,0.0519533,-0.0519533
BR|3|2f187cef64a04c3bb07e4e33b26f4be8|320X50,0.43,0.3125,0.3125,0
BR|3|3085b31bcc124c5a9650dc69e824a555|320X50,0.23,0.5,0.5,0
BR|3|3163f6e532b140fe80e41dd5fe36cc56|320X50,0.3,0,0.181976,-0.181976
BR|3|3163f6e532b140fe80e41dd5fe36cc56|320X50,0.38,0,0.181976,-0.181976
BR|3|3561ec67a0744ec6b0e5e4c2478d0450|320X50,0.24,0,0.0157895,-0.0157895
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.14,0.0833333,0.0833333,0
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.22,0.25,0.25,0
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.29,0,0.233135,-0.233135
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.42,0.384615,0.384615,0
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.46,0,0.428571,-0.428571
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.46,0.428571,0.428571,0
BR|3|3852863ab5ac44deb3498333a03797a0|320X50,0.48,0.466667,0.466667,0
BR|3|3852863ab5ac44deb3498333a03797a0|728X90,0.3,0,0.0222222,-0.0222222
BR|3|391621e8d5304f0a946166f352b8f88c|320X50,0.43,0,0.549645,-0.549645
BR|3|3ad40cd3240e4b47bd6fe42ec37f0d97|320X50,0.36,0,0.411348,-0.411348
